"Inicio del informe","Fin del informe","Nombre del anuncio","Entrega del anuncio",Resultados,"Indicador de resultado","Costo por resultados","Presupuesto del conjunto de anuncios","Tipo de presupuesto del conjunto de anuncios",Objetivo,"Importe gastado (ARS)",Impresiones,"CPM (costo por mil impresiones) (ARS)",Frecuencia,Alcance,"Clics (todos)","CPC (costo por clic en el enlace) (ARS)","CPC (todos) (ARS)","CTR (todos)","CTR (porcentaje de clics en el enlace)","Clics en el enlace",Finalización,"Fecha de creación","Configuración de atribución",Puja,"Tipo de puja","Último cambio significativo","Clasificación de calidad","Clasificación del porcentaje de interacción","Clasificación del porcentaje de conversiones","Nombre del conjunto de anuncios"
2026-03-27,2026-06-09,"Video 1: El ""Wow Factor"" (Recorrido del depto)",not_delivering,326,actions:onsite_conversion.messaging_conversation_started_7d,291.0609816,"Con el presupuesto de la campaña",0,Interacción,94885.88,45479,2086.366895,1.646299,27625,1039,240.827107,91.324235,2.284571,0.866334,394,"En curso",2026-03-27,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-04-15T16:33:29-0300,-,-,-,"Nuevo conjunto de anuncios de Interacción"
2026-03-27,2026-06-09,"Video 2: El de ""Ubicación + Comodidad",not_delivering,46,actions:onsite_conversion.messaging_conversation_started_7d,183.96891304,"Con el presupuesto de la campaña",0,Interacción,8462.57,2410,3511.439834,1.220871,1974,111,126.307015,76.239369,4.605809,2.780083,67,"En curso",2026-03-27,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-04-15T16:33:29-0300,-,-,-,"Nuevo conjunto de anuncios de Interacción"
2026-03-27,2026-06-09,"Video 3: El de ""Confianza y Servicio""",not_delivering,66,actions:onsite_conversion.messaging_conversation_started_7d,535.21636364,"Con el presupuesto de la campaña",0,Interacción,35324.28,9098,3882.642339,1.677051,5425,235,291.936198,150.316085,2.582985,1.329963,121,"En curso",2026-03-27,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-04-15T16:33:29-0300,-,-,-,"Nuevo conjunto de anuncios de Interacción"
